Application,Version(s)
stacks,"""2.64"""
star,"""2.7.10b"""
stringtie,"""2.2.0"""
structure,"""2.3.4"""
subread,"""2.0.4"""
superfocus,"""1.6"""
supernova,"""2.1.1"""
svdetect,"""0.8b"""
swat,"""670"""
swig,"""4.1.1"""
symap,"""5.3.3"""
tassel3,"""3.0.174"""
tassel5,"""5.2.89--hdfd78af_0"""
tatajuba,"""1.0.4"""
tcltk,"""8.6.13"""
tcoffee,"""13.45.0.4846264"""
tetools,"""1.7"""
texinfo,"""7"""
tmux,"""3.3a"""
tophat,"""2.0.13--py27_2"""
transdecoder,"""5.7.0, 5.7.1"""
trf,"""4.09"""
trimgalore,"""0.6.10"""
trimmomatic,"""0.38, 0.39"""
trinityrnaseq,"""2.15.1"""
trinotate,"""3.2.2"""
trnascanse,"""2.0.12"""
turbomole-huge,"""6.3.1-mpi, 6.3.1-smp, 6.3.1"""
turbomole,"""6.3.1-mpi, 6.3.1-smp, 6.3.1, 7.6.0-mpi, 7.6.0-smp, 7.6.0"""
udunits,"""2.2.28"""
unicycler,"""0.5.0"""
usearch,"""11.0.667"""
vasp,"""5.4.4"""
vaspvtst,"""5.4.4"""
vcftools,"""0.1.16"""
velvet,"""1.2.10"""
vicuna,"""1.0.0"""
viennarna,"""2.5.1"""
virtualenv,"""virtualenv"""
vsearch,"""2.22.1"""
wgs_assembler,"""8.3rc2"""
xz,"""5.4.1"""
yaggo,"""1.5.10"""
zlib,"""1.2.13"""
zorro,"""1.0.0"""
